R957308,R617886
R602794,R944491
R259546,R943675
R482033,R845400
R743699,R457622
R450892,R321930
R710381,R401355
R141708,R625923
R689177,R313471
R624452,R794331
R293795,R349202
R228951,R723762
R906054,R356606
R843735,R286105
R754929,R884343
R868920,R819508
R150034,R999837
R130166,R405909
R821957,R523771
R726167,R624156
R773304,R406453
R269459,R725446
R839797,R961708
R242736,R178522
R713057,R717132
R635813,R402924
R168730,R415390
R791712,R241247
R819299,R270694
R450383,R331817
R430902,R595876
R394645,R191637
R228290,R754150
R269760,R193488
R783287,R196069
R514327,R172838
R168521,R349612
R184559,R623822
R540324,R897720
R362798,R128177
R537622,R461361
R621022,R242470
R414962,R620906
R784529,R919888
R170286,R330328
R320946,R192793
R250866,R543100
R297965,R853806
R716467,R328690
R784871,R402088
R233138,R780621
R708930,R846110
R960609,R962337
R984392,R914629
R663048,R357900
R326034,R913512
R427735,R602050
R756117,R722512
R735886,R818245
R766984,R591271
R743315,R529351
R315213,R175990
R380031,R847276
R991115,R404929
R212425,R354791
R187334,R152874
R848995,R459512
R967324,R185235
R459007,R286528
R798673,R373898
R458648,R900103
R669045,R620932
R228536,R554761
R221899,R883142
R816293,R897649
R457401,R674735
R897989,R370891
R354697,R895385
R247578,R771579
R433253,R645879
R888688,R834946
R843455,R209865
R479585,R670370
R947281,R111429
R832392,R617868
R324462,R968393
R514127,R650865
R105539,R491484
R597165,R874292
R142215,R112922
R848829,R343434
R618439,R247867
R730136,R946801
R792381,R866140
R147797,R962846
R365831,R719890
R447685,R205221
R105725,R463666
R698714,R891199
R329110,R599364
R826781,R665370
R126484,R645780
R876350,R756938
R153545,R149704
R862904,R113131
R658942,R899135
R150871,R678670
R567178,R852733
R741119,R279667
R195177,R756290
R223160,R667754
R688767,R619790
R770622,R942620
R850144,R373536
R447020,R180258
R778980,R119199
R834200,R378656
R618650,R527946
R508489,R936384
R527737,R149800
R481923,R764054
R578182,R229303
R908116,R366742
R779715,R762365
R819548,R986121
R884660,R377193
R201951,R412360
R503928,R410939
R532977,R175180
R395713,R894448
R155252,R820893
R684805,R917489
R741581,R265059
R624673,R912405
R876912,R278475
R188478,R528299
R470100,R538297
R842823,R927770
R867607,R176511
R771221,R717580
R286520,R566077
R210532,R410239
R755129,R775059
R219233,R988458
R574257,R560025
R358831,R470487
R189136,R751905
R248579,R361073
R497905,R295810
R360507,R999964
R482487,R908246
R868360,R876315
R581198,R558407
R506311,R395213
R133727,R522043
R859113,R823374
R310361,R868257
R124686,R916535
R800262,R138183
R666366,R332445
R822471,R188473
R724607,R144808
R220798,R587401
R610209,R831422
R342528,R129214
R315893,R920602
R568651,R706332
R763152,R779447
R720532,R165834
R522894,R182231
R309145,R452609
R144098,R235164
R608428,R300291
R976399,R882375
R477660,R765434
R630751,R805998
R663339,R971270
R559605,R924680
R151297,R803986
R537657,R510935
R672147,R827541
R816254,R250463
R282800,R654418
R510653,R619507
R662164,R395287
R612404,R726120
R977474,R254269
R807092,R138792
R641985,R210359
R984853,R903917
R836523,R999844
R564386,R435630
R939980,R980214
R186372,R950503
R257425,R423563
R710784,R296515
R680765,R350664
R887372,R596002
R907171,R766148
R589598,R907532
R787891,R309851
R603544,R362430
R483691,R362287
R611841,R888148
R612483,R415782
R997205,R805797
R185909,R304163
R546874,R238911
R141740,R749625
R540231,R644892
R198020,R226303
R199201,R264462
R547403,R600666
R100292,R979892
R971578,R406061
R904371,R624670
R394914,R713012
R647355,R867557
R199492,R559446
R335873,R266086
R959079,R313121
R794386,R505296
R369363,R736338
R239112,R142519
R544570,R683264
R129207,R693781
R269553,R884639
R118921,R908682
R535433,R691681
R331443,R986119
R163923,R266193
R574063,R107692
